variable,coef,abs,odds_ratio
cat__SEXO_M,-0.3499900571688746,0.3499900571688746,0.7046950963482184
cat__AGENCIA_88,-0.34971966703148466,0.34971966703148466,0.7048856647148803
cat__AGENCIA_60,-0.34677346910124013,0.34677346910124013,0.7069654596406763
cat__AGENCIA_12,-0.34670442990933925,0.34670442990933925,0.707014269649594
cat__AGENCIA_116,-0.3342083335888758,0.3342083335888758,0.7159046197112496
cat__AGENCIA_46,0.3339025114286287,0.3339025114286287,1.3964070032147522
cat__AGENCIA_3,0.31816386729543267,0.31816386729543267,1.3746014950021161
num__log_capital,0.3116541175801332,0.3116541175801332,1.3656822458486397
cat__AGENCIA_48,0.3058255961580239,0.3058255961580239,1.3577454898677648
cat__SUBPRODUCTO_21,0.30061020999357857,0.30061020999357857,1.3506827562756045
cat__AGENCIA_58,-0.29423144833603804,0.29423144833603804,0.7451040183995252
cat__AGENCIA_109,-0.29012926832080926,0.29012926832080926,0.748166847055246
cat__SUBPRODUCTO_3,-0.28957915533880785,0.28957915533880785,0.7485785365780074
cat__TIPO_CREDITO_A,-0.2855120147601312,0.2855120147601312,0.751629310478216
num__saldo_por_credito,-0.28530978399751206,0.28530978399751206,0.7517813284177147
cat__REGION_3,0.283725451260665,0.283725451260665,1.3280682612284351
num__es_saldo_cero,-0.28180989165755604,0.28180989165755604,0.7544170918840396
cat__PRODUCTO_56,-0.2785461723126775,0.2785461723126775,0.7568833198897942
cat__AGENCIA_23,0.26861800116889956,0.26861800116889956,1.3081553317816286
num__log_saldo,-0.266526996704389,0.266526996704389,0.7660353230178728
cat__SUBPRODUCTO_16,-0.2587057180336179,0.2587057180336179,0.7720501900645631
cat__REGION_12,0.2538384684136666,0.2538384684136666,1.2889635791191267
cat__AGENCIA_84,0.2436013115767922,0.2436013115767922,1.2758355682064169
cat__SUBPRODUCTO_5,-0.24266029451215482,0.24266029451215482,0.7845379803662651
cat__AGENCIA_98,0.2323651100869118,0.2323651100869118,1.2615802604293787
cat__REGION_8,0.2262525311101559,0.2262525311101559,1.2538922721074586
cat__AGENCIA_71,0.22058104841614498,0.22058104841614498,1.2468009718873374
cat__AGENCIA_52,0.21970803906264894,0.21970803906264894,1.24571297796047
cat__AGENCIA_104,-0.21395952103726432,0.21395952103726432,0.8073810663093214
cat__SUBPRODUCTO_6,-0.2126624614418325,0.2126624614418325,0.8084289671165339
cat__AGENCIA_55,0.2116241854420335,0.2116241854420335,1.2356834099912082
cat__AGENCIA_93,-0.20723379049648644,0.20723379049648644,0.8128295959372283
cat__AGENCIA_33,0.20542124161131858,0.20542124161131858,1.2280422585235533
cat__REGION_7,0.20403582748305457,0.20403582748305457,1.2263420894195762
cat__AGENCIA_64,0.20109530610326573,0.20109530610326573,1.2227413009789674
cat__SUBPRODUCTO_10,0.19792102933126035,0.19792102933126035,1.2188661353470822
cat__AGENCIA_40,0.19335060479784896,0.19335060479784896,1.2133081106005037
cat__AGENCIA_57,0.19328792663086855,0.19328792663086855,1.2132320650553714
cat__AGENCIA_102,-0.18550380294664418,0.18550380294664418,0.8306856765216099
cat__SUBPRODUCTO_2,-0.1831925948408543,0.1831925948408543,0.8326077843305167
cat__AGENCIA_90,0.1761216290633961,0.1761216290633961,1.1925831025955018
cat__AGENCIA_9,0.1715497326623818,0.1715497326623818,1.1871431810552315
cat__AGENCIA_106,0.16529260229717127,0.16529260229717127,1.1797382623396402
cat__AGENCIA_97,0.16367015763062237,0.16367015763062237,1.1778257541768467
cat__AGENCIA_96,-0.1629889856102216,0.1629889856102216,0.8496005461946268
cat__REGION_6,-0.15382439469307446,0.15382439469307446,0.8574225757465441
cat__AGENCIA_75,-0.14762839314585932,0.14762839314585932,0.8627516598102284
cat__AGENCIA_6,0.1454507528515748,0.1454507528515748,1.1565607758594818
cat__REGION_10,0.1449317721188231,0.1449317721188231,1.1559606988282318
cat__AGENCIA_91,0.14347885847656175,0.14347885847656175,1.154282407260577
cat__AGENCIA_85,0.13513461135115534,0.13513461135115534,1.1446908623643952
cat__AGENCIA_28,-0.12859000538847506,0.12859000538847506,0.8793344140210447
cat__REGION_13,0.12736439580759654,0.12736439580759654,1.1358308343745767
cat__REGION_2,-0.12627842371637873,0.12627842371637873,0.881369418469477
cat__AGENCIA_14,-0.12454439642722694,0.12454439642722694,0.8828990629322632
cat__AGENCIA_66,0.11917422562871978,0.11917422562871978,1.1265661778917677
cat__AGENCIA_31,0.10867670240277606,0.10867670240277606,1.1148018793059173
cat__SUBPRODUCTO_17,-0.10721748607404509,0.10721748607404509,0.8983302774179363
cat__AGENCIA_94,-0.10707288890356975,0.10707288890356975,0.8984601828259541
cat__AGENCIA_76,-0.09553695006607138,0.09553695006607138,0.9088847776806235
cat__AGENCIA_32,0.08733518515104695,0.08733518515104695,1.0912623933741152
cat__AGENCIA_17,0.08691871795874383,0.08691871795874383,1.090808013012905
cat__AGENCIA_80,0.0857931745685616,0.0857931745685616,1.0895809519486772
cat__PRODUCTO_41,0.08489426866373964,0.08489426866373964,1.0886019612733597
cat__AGENCIA_39,0.08294691776386105,0.08294691776386105,1.086484134010142
cat__AGENCIA_37,-0.08193756624409212,0.08193756624409212,0.9213294789605271
cat__TIPO_CREDITO_F,0.08163985969552494,0.08163985969552494,1.0850649638276264
cat__AGENCIA_74,-0.0776582533128519,0.0776582533128519,0.9252805840918608
cat__AGENCIA_56,-0.07254322456643066,0.07254322456643066,0.9300255458404648
cat__AGENCIA_11,0.07153761339394016,0.07153761339394016,1.0741585526902777
num__capital_por_credito,0.06124976661922011,0.06124976661922011,1.0631644240119298
cat__AGENCIA_19,0.0552732416655909,0.0552732416655909,1.0568293450375987
cat__AGENCIA_53,-0.05473346546608452,0.05473346546608452,0.9467374525537025
num__CAPITAL_CONCEDIDO,-0.053433893167959254,0.053433893167959254,0.9479686061339093
cat__AGENCIA_89,-0.047441589045953976,0.047441589045953976,0.9536661760569649
cat__AGENCIA_68,-0.03496133563471309,0.03496133563471309,0.9656427514998708
